x y z_exact
0.009977 0.001580 0.000001
0.009948 0.001754 0.000001
0.009915 0.001927 0.000002
0.009880 0.002100 0.000002
0.009842 0.002272 0.000002
0.009801 0.002444 0.000002
0.009757 0.002614 0.000002
0.009710 0.002784 0.000002
0.009660 0.002953 0.000002
0.009607 0.003121 0.000002
0.009551 0.003289 0.000003
0.009492 0.003455 0.000003
0.009430 0.003620 0.000003
0.009365 0.003784 0.000003
0.009298 0.003947 0.000003
0.009228 0.004108 0.000003
0.009155 0.004269 0.000003
0.009079 0.004428 0.000003
0.009000 0.004586 0.000003
0.008919 0.004742 0.000004
0.008835 0.004897 0.000004
0.008748 0.005051 0.000004
0.008658 0.005202 0.000004
0.008566 0.005353 0.000004
0.008471 0.005501 0.000004
0.008374 0.005648 0.000004
0.008274 0.005794 0.000004
0.008172 0.005937 0.000004
0.008067 0.006079 0.000004
0.007960 0.006219 0.000004
0.007850 0.006357 0.000004
0.007738 0.006493 0.000004
0.007623 0.006627 0.000004
0.007507 0.006759 0.000004
0.007387 0.006889 0.000004
0.007266 0.007017 0.000004
0.007142 0.007142 0.000004
0.007017 0.007266 0.000004
0.006889 0.007387 0.000004
0.006759 0.007507 0.000004
0.006627 0.007623 0.000004
0.006493 0.007738 0.000004
0.006357 0.007850 0.000004
0.006219 0.007960 0.000004
0.006079 0.008067 0.000004
0.005937 0.008172 0.000004
0.005794 0.008274 0.000004
0.005648 0.008374 0.000004
0.005501 0.008471 0.000004
0.005353 0.008566 0.000004
0.005202 0.008658 0.000004
0.005051 0.008748 0.000004
0.004897 0.008835 0.000004
0.004742 0.008919 0.000004
0.004586 0.009000 0.000003
0.004428 0.009079 0.000003
0.004269 0.009155 0.000003
0.004108 0.009228 0.000003
0.003947 0.009298 0.000003
0.003784 0.009365 0.000003
0.003620 0.009430 0.000003
0.003455 0.009492 0.000003
0.003289 0.009551 0.000003
0.003121 0.009607 0.000002
0.002953 0.009660 0.000002
0.002784 0.009710 0.000002
0.002614 0.009757 0.000002
0.002444 0.009801 0.000002
0.002272 0.009842 0.000002
0.002100 0.009880 0.000002
0.001927 0.009915 0.000002
0.001754 0.009948 0.000001
0.001580 0.009977 0.000001
0.001406 0.010003 0.000001
0.001231 0.010026 0.000001
0.001056 0.010046 0.000001
0.000880 0.010063 0.000001
0.000705 0.010076 0.000001
0.000529 0.010087 0.000000
0.000353 0.010095 0.000000
0.000176 0.010100 0.000000
0.000000 0.010101 0.000000
-0.000176 0.010100 -0.000000
-0.000353 0.010095 -0.000000
-0.000529 0.010087 -0.000000
-0.000705 0.010076 -0.000001
-0.000880 0.010063 -0.000001
-0.001056 0.010046 -0.000001
-0.001231 0.010026 -0.000001
-0.001406 0.010003 -0.000001
-0.001580 0.009977 -0.000001
-0.001754 0.009948 -0.000001
-0.001927 0.009915 -0.000002
-0.002100 0.009880 -0.000002
-0.002272 0.009842 -0.000002
-0.002444 0.009801 -0.000002
-0.002614 0.009757 -0.000002
-0.002784 0.009710 -0.000002
-0.002953 0.009660 -0.000002
-0.003121 0.009607 -0.000002
-0.003289 0.009551 -0.000003
-0.003455 0.009492 -0.000003
